diseases,Auc_White,Gap_White,Auc_Black,Gap_Black,Auc_Hisp,Gap_Hisp,Auc_Other,Gap_Other,Auc_Asian,Gap_Asian,Auc_American,Gap_American
Enlarged Cardiomediastinum,0.734,-0.031000000000000028,0.802,0.03700000000000003,0.765,0.0,0.649,-0.11599999999999999,0.838,0.07299999999999995,,
Cardiomegaly,0.797,-0.013499999999999956,0.849,0.03849999999999998,0.813,0.0024999999999999467,0.822,0.011499999999999955,0.808,-0.0024999999999999467,0.69,-0.12050000000000005
Lung Opacity,0.761,-0.015000000000000013,0.79,0.014000000000000012,0.795,0.019000000000000017,0.762,-0.014000000000000012,0.792,0.016000000000000014,0.592,-0.18400000000000005
Lung Lesion,0.738,-0.04700000000000004,0.785,0.0,0.863,0.07799999999999996,0.8,0.015000000000000013,0.772,-0.013000000000000012,,
Edema,0.878,-0.007000000000000006,0.908,0.02300000000000002,0.873,-0.01200000000000001,0.93,0.04500000000000004,0.886,0.0010000000000000009,0.884,-0.0010000000000000009
Consolidation,0.821,-0.016000000000000014,0.853,0.016000000000000014,0.83,-0.007000000000000006,0.837,0.0,0.867,0.030000000000000027,,
Pneumonia,0.722,-0.011500000000000066,0.745,0.011499999999999955,0.775,0.04149999999999998,0.67,-0.0635,0.807,0.07350000000000001,0.721,-0.012500000000000067
Atelectasis,0.809,-0.013999999999999901,0.837,0.014000000000000012,0.865,0.04200000000000004,0.77,-0.052999999999999936,0.865,0.04200000000000004,0.805,-0.017999999999999905
Pneumothorax,0.876,-0.007000000000000006,0.907,0.02400000000000002,0.896,0.013000000000000012,0.883,0.0,0.871,-0.01200000000000001,,
Pleural Effusion,0.917,-0.01750000000000007,0.937,0.0024999999999999467,0.914,-0.020500000000000074,0.933,-0.0015000000000000568,0.936,0.0014999999999999458,0.942,0.00749999999999984
Pleural Other,0.831,0.0030000000000000027,0.828,0.0,0.81,-0.017999999999999905,0.786,-0.041999999999999926,0.892,0.06400000000000006,,
Fracture,0.717,0.013000000000000012,0.678,-0.025999999999999912,0.691,-0.013000000000000012,0.866,0.16200000000000003,0.841,0.137,0.226,-0.478
Support Devices,0.911,-0.021500000000000075,0.936,0.0034999999999999476,0.952,0.01949999999999985,0.919,-0.013500000000000068,0.929,-0.0035000000000000586,0.962,0.02949999999999986
