diseases,Auc_60-80,Gap_60-80,Auc_40-60,Gap_40-60,Auc_20-40,Gap_20-40,Auc_80-,Gap_80-,Auc_0-20,Gap_0-20
Enlarged Cardiomediastinum,0.732,-0.041000000000000036,0.742,-0.031000000000000028,0.83,0.05699999999999994,,,0.804,0.031000000000000028
Cardiomegaly,0.782,-0.07899999999999996,0.829,-0.03200000000000003,0.893,0.03200000000000003,,,0.893,0.03200000000000003
Lung Opacity,0.737,-0.0655,0.785,-0.01749999999999996,0.829,0.026499999999999968,,,0.82,0.01749999999999996
Lung Lesion,0.776,0.020000000000000018,0.769,0.013000000000000012,0.725,-0.031000000000000028,,,0.743,-0.013000000000000012
Edema,0.878,-0.045499999999999985,0.906,-0.01749999999999996,0.941,0.01749999999999996,,,0.969,0.045499999999999985
Consolidation,0.807,-0.0684999999999999,0.844,-0.03149999999999997,0.907,0.031500000000000083,,,0.957,0.08150000000000002
Pneumonia,0.718,-0.040000000000000036,0.767,0.009000000000000008,0.794,0.03600000000000003,,,0.749,-0.009000000000000008
Atelectasis,0.79,-0.07299999999999995,0.84,-0.02300000000000002,0.904,0.041000000000000036,,,0.886,0.02300000000000002
Pneumothorax,0.895,-0.021500000000000075,0.906,-0.010500000000000065,0.927,0.010499999999999954,,,0.933,0.01649999999999996
Pleural Effusion,0.911,-0.03400000000000003,0.935,-0.010000000000000009,0.957,0.0119999999999999,,,0.955,0.009999999999999898
Pleural Other,0.817,0.0,0.858,0.041000000000000036,0.672,-0.1449999999999999,,,,
Fracture,0.724,0.013000000000000012,0.723,0.01200000000000001,0.699,-0.01200000000000001,,,0.64,-0.07099999999999995
Support Devices,0.912,-0.024499999999999966,0.927,-0.009499999999999953,0.946,0.009499999999999953,,,0.969,0.03249999999999997
