diseases,Auc_M,Gap_M,Auc_F,Gap_F
Enlarged Cardiomediastinum,0.736,-0.028000000000000025,0.764,0.028000000000000025
Cardiomegaly,0.821,-0.017000000000000015,0.838,0.017000000000000015
Lung Opacity,0.78,-0.007000000000000006,0.787,0.007000000000000006
Lung Lesion,0.764,-0.03200000000000003,0.796,0.03200000000000003
Edema,0.905,-0.0010000000000000009,0.906,0.0010000000000000009
Consolidation,0.838,-0.014000000000000012,0.852,0.014000000000000012
Pneumonia,0.755,0.0050000000000000044,0.75,-0.0050000000000000044
Atelectasis,0.833,-0.008000000000000007,0.841,0.008000000000000007
Pneumothorax,0.896,-0.010000000000000009,0.906,0.010000000000000009
Pleural Effusion,0.923,-0.020999999999999908,0.944,0.020999999999999908
Pleural Other,0.844,0.0030000000000000027,0.841,-0.0030000000000000027
Fracture,0.703,-0.007000000000000006,0.709,0.0050000000000000044
Support Devices,0.922,-0.009000000000000008,0.931,0.009000000000000008
