diseases,Auc_medicare,Gap_medicare,Auc_other,Gap_other,Auc_medicaid,Gap_medicaid
Enlarged Cardiomediastinum,0.744,-0.007000000000000006,0.751,0.0,0.832,0.08099999999999996
Cardiomegaly,0.783,-0.039999999999999925,0.823,0.0,0.823,0.0
Lung Opacity,0.75,-0.03200000000000003,0.782,0.0,0.79,0.008000000000000007
Lung Lesion,0.736,0.0,0.796,0.06000000000000005,0.722,-0.014000000000000012
Edema,0.866,-0.026000000000000023,0.893,0.0010000000000000009,0.892,0.0
Consolidation,0.803,-0.04299999999999993,0.849,0.0030000000000000027,0.846,0.0
Pneumonia,0.704,-0.052000000000000046,0.756,0.0,0.762,0.006000000000000005
Atelectasis,0.799,-0.02199999999999991,0.83,0.009000000000000008,0.821,0.0
Pneumothorax,0.901,0.03400000000000003,0.867,0.0,0.855,-0.01200000000000001
Pleural Effusion,0.918,-0.0040000000000000036,0.922,0.0,0.931,0.009000000000000008
Pleural Other,0.857,0.02200000000000002,0.835,0.0,0.833,-0.0020000000000000018
Fracture,0.716,-0.020000000000000018,0.766,0.030000000000000027,0.736,0.0
Support Devices,0.913,-0.01100000000000001,0.924,0.0,0.931,0.007000000000000006
