diseases,diseases_abbr,Distance,Gap_M_mean,CI_M,Gap_F_mean,CI_F
Pneumonia,Pneumonia,0.0014000000000000002,-0.0006000000000000001,0.0037497007880629616,0.0008,0.003635258450234316
Edema,Edema,0.0036000000000000003,-0.0018000000000000002,0.0011428665713896788,0.0018000000000000002,0.0011428665713896788
Lung Opacity,Air. Opacity,0.011199999999999998,-0.005599999999999999,0.001817629225117158,0.005599999999999999,0.001817629225117158
Fracture,Fracture,0.012799999999999999,-0.0072,0.00868613976401485,0.005599999999999999,0.008534444094374276
Atelectasis,Atelectasis,0.0146,-0.007200000000000001,0.0011428665713896786,0.0073999999999999995,0.0009994078246641856
Support Devices,Sup. Devices,0.018,-0.009,0.0006198064213930024,0.009,0.0006198064213930024
Pneumothorax,Pneumothorax,0.018400000000000003,-0.009200000000000002,0.0007333648478076926,0.009200000000000002,0.0007333648478076926
Consolidation,Consolidation,0.022,-0.011,0.003036418943426615,0.011,0.003036418943426615
Pleural Other,Pleural Other,0.0268,-0.0134,0.009947844791712424,0.0134,0.009947844791712424
Cardiomegaly,Cardiomegaly,0.028999999999999998,-0.014599999999999998,0.0013293366766925529,0.0144,0.0014667296956153853
Pleural Effusion,Effusion,0.0407999999999998,-0.0203999999999999,0.0007840000000000007,0.0203999999999999,0.0007840000000000007
Enlarged Cardiomediastinum,Enlarged Card.,0.0444,-0.0222,0.006148279759412383,0.0222,0.006148279759412383
Lung Lesion,Lung Lesion,0.0506,-0.0252,0.00705055345345314,0.0254,0.006721399854197041
