,diseases,TPR_M,TPR_F
0,Enlarged Cardiomediastinum,0.22144112478031636,0.16489361702127658
1,Cardiomegaly,0.663467492260062,0.6559679037111334
2,Lung Opacity,0.6884797213237124,0.6758391291200484
3,Lung Lesion,0.17286245353159851,0.2385496183206107
4,Edema,0.6254054054054055,0.6288288288288288
5,Consolidation,0.2866161616161616,0.26232114467408585
6,Pneumonia,0.3516728624535316,0.3244406196213425
7,Atelectasis,0.6828206616366802,0.6402077151335311
8,Pneumothorax,0.48737650933040616,0.4803738317757009
9,Pleural Effusion,0.7685752330226365,0.7856512790355777
10,Pleural Other,0.2789473684210526,0.21052631578947367
11,Fracture,0.2101010101010101,0.15743440233236153
12,Support Devices,0.7959947183098591,0.7375751820196265
13,No Finding,0.796409941699908,0.8340782879588243
