,diseases,TPR_White,TPR_Black,TPR_Hisp,TPR_Other,Gap_Asian,TPR_American
0,Enlarged Cardiomediastinum,0.2753623188405797,0.3469387755102041,0.2549019607843137,0.18181818181818182,0.3125,
1,Cardiomegaly,0.655130540376442,0.732824427480916,0.7324414715719063,0.7148936170212766,0.5813953488372093,0.7058823529411765
2,Lung Opacity,0.7053504144687265,0.637599093997735,0.6578171091445427,0.7050691244239631,0.6666666666666666,0.36363636363636365
3,Lung Lesion,0.2079002079002079,0.2565789473684211,0.18181818181818182,0.3488372093023256,0.2,
4,Edema,0.6262158406669754,0.6307692307692307,0.615,0.6526946107784432,0.5384615384615384,0.7272727272727273
5,Consolidation,0.38077858880778587,0.37735849056603776,0.29577464788732394,0.28205128205128205,0.4411764705882353,
6,Pneumonia,0.3654001616814875,0.3656957928802589,0.3448275862068966,0.19298245614035087,0.38181818181818183,0.0
7,Atelectasis,0.6943036087086192,0.607681755829904,0.6834532374100719,0.6291666666666667,0.7043478260869566,0.7142857142857143
8,Pneumothorax,0.39258114374034003,0.3364485981308411,0.35714285714285715,0.22727272727272727,0.4074074074074074,
9,Pleural Effusion,0.802865726831523,0.7076271186440678,0.6926406926406926,0.7404580152671756,0.7279411764705882,0.8636363636363636
10,Pleural Other,0.17647058823529413,0.16666666666666666,0.0,0.0,0.25,
11,Fracture,0.1553398058252427,0.0,0.15,0.2,0.0,0.0
12,Support Devices,0.8169411764705883,0.8124373119358074,0.9298701298701298,0.8566308243727598,0.7719298245614035,1.0
13,No Finding,0.7464953271028038,0.8371980676328502,0.8222506393861893,0.7830985915492957,0.8689138576779026,0.7692307692307693
