,diseases,TPR_60-80,TPR_40-60,TPR_20-40,TPR_80-,TPR_0-20
0,Enlarged Cardiomediastinum,0.23469387755102042,0.16573033707865167,0.28,,0.4444444444444444
1,Cardiomegaly,0.6758594635436344,0.5970504281636536,0.6056910569105691,,0.325
2,Lung Opacity,0.7575143532590342,0.6955698599015524,0.6080178173719376,,0.5357142857142857
3,Lung Lesion,0.2288888888888889,0.18181818181818182,0.0967741935483871,,0.07692307692307693
4,Edema,0.5738125802310655,0.5775022143489814,0.5526315789473685,,0.4
5,Consolidation,0.5060240963855421,0.43702290076335876,0.5837837837837838,,0.5
6,Pneumonia,0.39197530864197533,0.42417582417582417,0.44416243654822335,,0.40476190476190477
7,Atelectasis,0.6985956067698955,0.6551884597487203,0.6390977443609023,,0.3235294117647059
8,Pneumothorax,0.4276315789473684,0.4681274900398406,0.5284090909090909,,0.4523809523809524
9,Pleural Effusion,0.8106194690265487,0.7676274944567627,0.6733668341708543,,0.6595744680851063
10,Pleural Other,0.2706766917293233,0.2440944881889764,0.0,,
11,Fracture,0.14559386973180077,0.15258855585831063,0.04065040650406504,,0.25
12,Support Devices,0.7831887925283523,0.7449593208348072,0.7892116182572614,,0.7575757575757576
13,No Finding,0.6748523469070563,0.8449069810278136,0.9414564493098525,,0.9818840579710145
