,diseases,TPR_Medicare,TPR_Other,TPR_Medicaid
0,Enlarged Cardiomediastinum,0.2839506172839506,0.26683291770573564,0.3142857142857143
1,Cardiomegaly,0.7240575204041975,0.706367384333486,0.6985138004246284
2,Lung Opacity,0.787321063394683,0.7537437603993344,0.7114337568058077
3,Lung Lesion,0.1952662721893491,0.2564102564102564,0.2
4,Edema,0.5833333333333334,0.5796529968454258,0.5766423357664233
5,Consolidation,0.41869158878504675,0.45724907063197023,0.3893129770992366
6,Pneumonia,0.2737306843267108,0.3211586901763224,0.43312101910828027
7,Atelectasis,0.7175572519083969,0.7039260969976905,0.584958217270195
8,Pneumothorax,0.48175182481751827,0.41014799154334036,0.2786885245901639
9,Pleural Effusion,0.845034788108792,0.77989670242352,0.6845425867507886
10,Pleural Other,0.29457364341085274,0.09876543209876543,0.047619047619047616
11,Fracture,0.15354330708661418,0.16475095785440613,0.13043478260869565
12,Support Devices,0.8149659863945579,0.8301947015639962,0.8194444444444444
13,No Finding,0.6910543130990415,0.8197046506502094,0.831390134529148
