diseases,#60-80,FNR_60-80,Gap_60-80,#40-60,FNR_40-60,Gap_40-60,#20-40,FNR_20-40,Gap_20-40,#80-,FNR_80-,Gap_80-,#0-20,FNR_0-20,Gap_0-20
Enlarged Cardiomediastinum,392,0.651,-0.034744897959183674,356,0.767,0.0815988305434534,125,0.72,0.034744897959183674,,,,9.0,0.444,-0.24081065759637188
Cardiomegaly,2647,0.351,-0.0678595686951371,2102,0.431,0.011341631018593756,738,0.408,-0.0113416310185937,,,,40.0,0.7,0.28079929039062035
Lung Opacity,2961,0.245,-0.08716853439907044,2641,0.304,-0.028007672399180672,898,0.36,0.028007672399180616,,,,56.0,0.464,0.1326051906938036
Lung Lesion,450,0.742,-0.05923307923307919,407,0.757,-0.04469854469854462,124,0.879,0.07757695660921471,,,,13.0,0.846,0.04469854469854473
Edema,1558,0.374,-0.02196548281272287,1129,0.373,-0.023266803690366877,342,0.418,0.02196548281272287,,,,5.0,0.8,0.4038368278419627
Consolidation,581,0.67,0.002232485010927099,524,0.668,0.0006361323155216203,185,0.541,-0.12676225844164768,,,,12.0,0.667,-0.0006361323155216203
Pneumonia,972,0.652,0.10026080852363994,910,0.566,0.013931499972109185,394,0.538,-0.013931499972109074,,,,42.0,0.5,-0.05200256596195674
Atelectasis,2777,0.288,-0.05128411606103228,2149,0.314,-0.02490509661776591,665,0.364,0.02490509661776591,,,,34.0,0.647,0.30805414571108747
Pneumothorax,456,0.592,0.062224785070245314,502,0.56,0.029880478087649376,352,0.432,-0.09806229626946755,,,,42.0,0.5,-0.029880478087649376
Pleural Effusion,3390,0.171,-0.09885231545952586,2255,0.229,-0.04052895668289708,597,0.31,0.04052895668289713,,,,47.0,0.362,0.09234833727379493
Pleural Other,133,0.812,0.0,127,0.803,-0.008880468888757265,12,1.0,0.18796992481203012,,,,12.0,,
Fracture,261,0.908,-0.021586767591813882,367,0.839,-0.09039568738259973,123,0.951,0.02158676759181377,,,,66.0,1.0,0.07036725539669186
Support Devices,2998,0.184,-0.021432535441853473,2827,0.215,0.010200981349083454,1205,0.195,-0.010200981349083454,,,,552.0,0.242,0.03720251418719217
No Finding,3217,0.312,0.1998698500034106,5429,0.159,0.04741821404590382,4202,0.064,-0.04741821404590381,,,,,0.022,-0.09017218213563334
