diseases,#60-80,FNR_60-80,Gap_60-80,#40-60,FNR_40-60,Gap_40-60,#20-40,FNR_20-40,Gap_20-40,#80-,FNR_80-,Gap_80-,#0-20,FNR_0-20,Gap_0-20
Enlarged Cardiomediastinum,392,0.76,-0.011897959183673534,356,0.854,0.08183054345333629,125,0.784,0.011897959183673423,,,,9.0,0.556,-0.21654648526077103
Cardiomegaly,2647,0.31,-0.07012320066317068,2102,0.392,0.011721963080715492,738,0.369,-0.011721963080715492,,,,40.0,0.675,0.2947143512824282
Lung Opacity,2961,0.282,-0.09275978577026989,2641,0.347,-0.02758306776217756,898,0.402,0.02758306776217756,,,,56.0,0.518,0.14343575627633603
Lung Lesion,450,0.771,-0.0414007014007014,407,0.779,-0.033642033642033664,124,0.887,0.0745849616817359,,,,13.0,0.846,0.033642033642033664
Edema,1558,0.384,-0.024140636143203553,1129,0.371,-0.037483012585941444,342,0.433,0.024140636143203498,,,,5.0,0.8,0.39139209813150766
Consolidation,581,0.719,0.05702191003395829,524,0.773,0.11047344791941505,185,0.605,-0.05702191003395818,,,,12.0,0.583,-0.07909398210603025
Pneumonia,972,0.716,0.1185205156440351,910,0.642,0.04422937468622756,394,0.553,-0.04422937468622745,,,,42.0,0.548,-0.049909819452966575
Atelectasis,2777,0.31,-0.05129636430452983,2149,0.355,-0.005934216649114643,665,0.367,0.005934216649114643,,,,34.0,0.735,0.3743110410630908
Pneumothorax,456,0.579,0.06898720905850286,502,0.52,0.009960159362549792,352,0.403,-0.10655106845345891,,,,42.0,0.5,-0.009960159362549792
Pleural Effusion,3390,0.201,-0.08997576361028628,2255,0.252,-0.038827544968003336,597,0.33,0.03882754496800339,,,,47.0,0.426,0.13437621028038088
Pleural Other,133,0.752,0.0,127,0.732,-0.019596234681191094,12,0.917,0.16478696741854637,,,,12.0,,
Fracture,261,0.785,-0.07888727071523283,367,0.812,-0.052338782924614025,123,0.935,0.0706314658514432,,,,66.0,0.917,0.052338782924613914
Support Devices,2998,0.222,-0.015375006518907913,2827,0.253,0.015375006518907885,1205,0.209,-0.028060918842199495,,,,552.0,0.258,0.020386208028163877
No Finding,3217,0.35,0.23393322458707988,5429,0.17,0.0538039232429645,4202,0.063,-0.0538039232429645,,,,,0.031,-0.0855960650112046
