diseases,#White,FNR_White,Gap_White,#Black,FNR_Black,Gap_Black,#Hisp,FNR_Hisp,Gap_Hisp,#Other,FNR_Other,Gap_Other,#Asian,FNR_Asian,Gap_Asian,#American,FNR_American,Gap_American
Enlarged Cardiomediastinum,552,0.777,0.0,98,0.776,-0.0016637089618456447,51,0.784,0.007139812446717797,33,0.788,0.010704874835309575,16,0.562,-0.21467391304347827,17.0,,
Cardiomegaly,3294,0.34,0.05474190407104068,1048,0.286,0.0009893027649416908,299,0.284,-0.0009893027649416353,235,0.255,-0.029951090283620918,129,0.372,0.08682278403602284,11.0,0.176,-0.10879965098449698
Lung Opacity,3981,0.238,-0.05998437909246401,883,0.301,0.0031302511884598316,339,0.295,-0.0031302511884598316,217,0.207,-0.09074223003652204,168,0.315,0.01736068855026751,11.0,0.636,0.3382481344377134
Lung Lesion,481,0.815,0.0,152,0.809,-0.005758288653025523,11,0.818,0.0032130032130032182,43,0.698,-0.11729439636416383,25,0.88,0.06503118503118499,2.0,,
Edema,2159,0.414,0.008617415470125012,455,0.4,-0.0050000000000000044,200,0.41,0.004999999999999949,167,0.347,-0.05769461077844312,52,0.481,0.07576923076923076,21.0,0.182,-0.2231818181818182
Consolidation,822,0.474,-0.03836795807598725,159,0.528,0.015481373971940049,71,0.577,0.0646442759118816,39,0.513,0.0,34,0.382,-0.1304675716440422,22.0,,
Pneumonia,1237,0.563,-0.03420819238527284,309,0.631,0.03420819238527295,116,0.509,-0.08823907912460327,57,0.754,0.15752619613250507,55,0.455,-0.14231431423432112,1.0,1.0,0.40314023122022435
Atelectasis,3353,0.299,-0.00855670965762434,729,0.348,0.040432443638340976,278,0.317,0.008556709657624284,240,0.358,0.05034328040102959,115,0.235,-0.07320744423665157,6.0,0.238,-0.06989481483706567
Pneumothorax,647,0.578,-0.05157707939779044,107,0.626,-0.003461405330564271,56,0.75,0.12037037037037035,44,0.727,0.09764309764309764,27,0.63,0.0,13.0,,
Pleural Effusion,4327,0.177,-0.05642877130670099,708,0.25,0.016081050740907044,231,0.346,0.11240139706125335,262,0.225,-0.008728109564436481,136,0.243,0.008728109564436454,,0.091,-0.14300985835000204
Pleural Other,204,0.721,-0.11274509803921573,12,0.833,0.0,2,1.0,0.16666666666666663,6,1.0,0.16666666666666663,4,0.75,-0.08333333333333337,,,
Fracture,412,0.879,-0.08284570978745731,37,0.973,0.011486486486486536,20,0.95,-0.011486486486486536,55,0.764,-0.19785012285012282,2,1.0,0.03851351351351351,,1.0,0.03851351351351351
Support Devices,4250,0.224,0.018927682901117432,997,0.227,0.021372428903831453,385,0.096,-0.10920371511263352,279,0.186,-0.018927682901117432,171,0.246,0.040306423871189656,,0.0,-0.20530761121652963
No Finding,5136,0.249,0.06654627525866746,2070,0.159,-0.023348302374634283,782,0.15,-0.03266913215582212,355,0.206,0.023348302374634283,267,0.142,-0.03996340306398999,,0.231,0.04848373032696365
