diseases,diseases_abbr,Distance,#40-60,Gap_40-60_mean,CI_40-60,#60-80,Gap_60-80_mean,CI_60-80,#20-40,Gap_20-40_mean,CI_20-40,#80-,Gap_80-_mean,CI_80-,#0-20,Gap_0-20_mean,CI_0-20
Support Devices,Sup. Devices,0.05770918,2827,0.01504615,0.00548496,2998,-0.017559858,0.003232134,1205,-0.01626461,0.0065757,,,,552,0.040149322,0.025077161
Fracture,Fracture,0.114742695,367,-0.042407595,0.032737205,261,-0.027169619,0.031072176,123,0.0723351,0.028082424,,,,66,-0.005713681,0.074249098
Lung Lesion,Lung Lesion,0.129204301,407,-0.032547659,0.018422033,450,-0.051345366,0.027663054,124,0.077858935,0.025657162,,,,13,0.009372583,0.073634538
Pneumonia,Pneumonia,0.138418577,910,0.019525111,0.017254064,972,0.092449183,0.035295134,394,-0.027405217,0.009684586,,,,42,-0.045969394,0.028784217
Consolidation,Consolidation,0.141704147,524,0.053607436,0.034857913,581,0.018506071,0.022109218,185,-0.088096711,0.030675895,,,,12,-0.022601215,0.030055638
Pneumothorax,Pneumothorax,0.160655901,502,0.027052019,0.025999393,456,0.071103882,0.02431112,352,-0.089552019,0.016034075,,,,42,-0.037793361,0.04512825
Pleural Effusion,Effusion,0.205833176,2255,-0.040665931,0.004058876,3390,-0.092705646,0.004421398,597,0.040665931,0.004058876,,,,47,0.11312753,0.031325528
Pleural Other,Pleural Other,0.205889724,127,-0.010692085,0.009950335,133,-0.014350838,0.018162491,12,0.191538887,0.028375108,,,,12,,
Lung Opacity,Air. Opacity,0.215222898,2641,-0.029494801,0.00873564,2961,-0.092019857,0.008160757,898,0.029494801,0.00873564,,,,56,0.123203041,0.01801343
Enlarged Cardiomediastinum,Enlarged Card.,0.322347066,356,0.084411465,0.012858908,392,-0.00437551,0.018485053,125,0.00437551,0.018485053,,,,9,-0.237935601,0.033560064
Edema,Edema,0.32761736,1129,-0.027350637,0.012019987,1558,-0.016524034,0.007469183,342,0.016524034,0.007469183,,,,5,0.300266724,0.096603815
Cardiomegaly,Cardiomegaly,0.36342841,2102,0.006469255,0.004310737,2647,-0.067011486,0.008710177,738,-0.006469255,0.004310737,,,,40,0.296416924,0.016144205
Atelectasis,Atelectasis,0.370048084,2149,-0.012513042,0.00686265,2777,-0.051758837,0.002081888,665,0.012513042,0.00686265,,,,34,0.318289247,0.030583875
,,,,7-,,,10-,,,5-,,,,,,5-,
