diseases,diseases_abbr,Distance,#Medicare,Gap_C_mean,CI_C,#Other,Gap_O_mean,CI_O,#Medicaid,Gap_A_mean,CI_A
Lung Lesion,Lung Lesion,0.0012421096418898624,338.0,0.012240067624682998,0.021745358578928994,312.0,-0.06192166807551419,0.020503248937039132,70.0,0.01448858833474218,0.017123748208401606
Edema,Edema,0.0019055365623995655,1680.0,-0.0050875018777226605,0.006319581603735474,1268.0,-0.0030922337389214403,0.004414045041335909,274.0,0.06120811856023345,0.03093490664624311
Consolidation,Consolidation,0.0026210997706361105,535.0,0.014331169294428178,0.014462166055461044,538.0,-0.030023484494266485,0.011841066284824934,131.0,0.01171720054219874,0.014063669746463042
Lung Opacity,Air. Opacity,0.003058726981248906,2934.0,-0.02821938441611168,0.003058726981248906,2404.0,0.0,0.0,551.0,0.02728755160032728,0.012585898893677283
Enlarged Cardiomediastinum,Enlarged Card.,0.0032348838335082104,324.0,0.0043825621132354,0.006312447895426238,401.0,0.00979649641328774,0.009547331728934448,70.0,-0.0401500657527257,0.015095784257350298
Cardiomegaly,Cardiomegaly,0.005845695106270508,2573.0,-0.02223219104804288,0.006758029658246639,2183.0,0.00046547681223272,0.0009123345519761311,471.0,0.01698397090818548,0.013635509531262193
Support Devices,Sup. Devices,0.006434617355742118,2940.0,0.010837585034013561,0.007742491384529002,3133.0,-0.01018825140972438,0.001307874028786884,576.0,0.0,0.0
Pleural Effusion,Effusion,0.007086388465323009,3162.0,-0.06358809431727626,0.007086388465323009,2517.0,0.0,0.0,317.0,0.0934693923590875,0.014456879723768622
Pneumonia,Pneumonia,0.0087202315662898,906.0,0.04392602354301854,0.0087202315662898,794.0,0.0,0.0,157.0,-0.08030451314797282,0.017096703161286086
Atelectasis,Atelectasis,0.01112754009690412,2489.0,-0.03456672639057572,0.01112754009690412,2165.0,0.0,0.0,359.0,0.13780105116213243,0.0114360292469667
Fracture,Fracture,0.013653071067151417,254.0,0.0009770705198581995,0.012228618435482579,261.0,-0.033599210893240986,0.025881689502633996,46.0,0.04469497534697212,0.03147291886059884
Pleural Other,Pleural Other,0.0202977159802444,129.0,-0.15136376686764277,0.03837907456085755,81.0,0.0148148148148148,0.018081358580613147,21.0,0.03844797178130508,0.031708395483765056
Pneumothorax,Pneumothorax,0.02116755047479341,411.0,-0.09577835732987652,0.02116755047479341,473.0,0.0,0.0,61.0,0.08187710116798944,0.04245924005456078
