diseases,diseases_abbr,Distance,#White,Gap_W_mean,CI_W,#Black,Gap_B_mean,CI_B,#Hisp,Gap_H_mean,CI_H,#Other,Gap_Ot_mean,CI_Ot,#Asian,Gap_As_mean,CI_As,#American,Gap_Am_mean,CI_Am
Consolidation,Consolidation,0.12398190045248864,822.0,-0.015624099602754602,0.018157194383159877,822.0,-0.00239359875346848,0.011559938271423785,71.0,0.04478507074781594,0.029639255206455866,39.0,0.056919415276526684,0.04369186074789391,34.0,-0.06706248517596196,0.03254212333794217,22.0,,
Pneumothorax,Pneumothorax,0.137037037037037,647.0,-0.056197990550646226,0.044577264819412,647.0,-0.01026059437274392,0.0297603720273557,56.0,0.026154625920981077,0.04667637199692703,44.0,0.06544034020669533,0.04413241264344758,27.0,-0.07159669683034167,0.07202932711102832,13.0,,
Atelectasis,Atelectasis,0.13823241230648628,3353.0,-0.00711269633653152,0.012798590436161307,3353.0,0.06467175891656973,0.015112797883899463,278.0,0.00362331372210802,0.009411001398474589,240.0,0.05870125137198814,0.010224717502130906,115.0,-0.023871212396127682,0.024461587808194463,6.0,-0.07356065338991655,0.028925354948793693
Lung Lesion,Lung Lesion,0.1875348837209301,481.0,0.0033458007142217402,0.004495895435313165,481.0,-0.02075421022789442,0.019880365373311962,11.0,0.00293000029842138,0.028524962491048054,43.0,-0.13660488342250882,0.04416886316543981,25.0,0.0509300002984213,0.03311430062582287,2.0,,
Enlarged Cardiomediastinum,Enlarged Card.,0.206060606060606,552.0,-0.00465502406496196,0.007846883232141633,552.0,-0.0109993009061332,0.030534086151001245,51.0,0.038780611058652686,0.04095623323891887,33.0,0.06444906025651366,0.05260857718055207,16.0,-0.14161154580409235,0.0591121108484617,17.0,,
Cardiomegaly,Cardiomegaly,0.21176470588235288,3294.0,0.050629125145927344,0.008497014400933187,3294.0,-0.01619628492188034,0.021219852329996982,299.0,-0.003769365674516361,0.014472643640310222,235.0,-0.01370318763424024,0.011182459325591185,129.0,0.11395638683384482,0.016341716543865015,11.0,-0.09780831904850806,0.05957711552128589
Fracture,Fracture,0.22545454545454538,412.0,-0.0789950144319076,0.011750598620208488,412.0,0.04446339543426922,0.04354756651270117,20.0,0.021490422461296198,0.06132898921480909,55.0,-0.1539641229932492,0.035556719646837244,2.0,-0.1285095775387038,0.21104756296722563,,0.0714904224612962,0.03343183881385278
Pleural Effusion,Effusion,0.23852813852813842,4327.0,-0.062473954349747916,0.009085380429678236,4327.0,0.021946691731421462,0.005579154738852385,231.0,0.09606805059854304,0.027531987781182526,262.0,-0.011162378005931239,0.006877613194114394,136.0,0.014892853246875101,0.011728341928750583,,-0.14246008792959539,0.014831667892478546
Support Devices,Sup. Devices,0.23976608187134493,4250.0,0.021473547778059,0.002407782062926776,4250.0,0.0232539006012344,0.002470729259420865,385.0,-0.09728642166426332,0.008823870122453887,279.0,-0.020671423758942823,0.0023037756591175614,171.0,0.057804335531756935,0.011277649927040013,,-0.181961746339588,0.016389975897774526
Edema,Edema,0.2444055944055944,2159.0,0.00907490749176712,0.007197098128220841,2159.0,-0.0017215031378996003,0.007485443685026136,200.0,0.008300474884078379,0.01075559671314596,167.0,-0.053160602960232936,0.02286973409318222,52.0,0.09706970565330915,0.016364141769131004,21.0,-0.14733588875228523,0.0463162367547538
Pleural Other,Pleural Other,0.2499999999999999,204.0,-0.08431372549019604,0.0477887588750469,204.0,0.0,0.0,2.0,0.14999999999999994,0.03266666666666665,6.0,0.14999999999999994,0.03266666666666665,4.0,-0.09999999999999995,0.03266666666666665,,,
Lung Opacity,Air. Opacity,0.40661918726434854,3981.0,-0.050304282716175285,0.007663027402219795,3981.0,0.017797684072275857,0.009881282759403412,339.0,-0.00435460582172314,0.007964980995004227,217.0,-0.05613335328987969,0.02231556699643388,168.0,0.009035617524252401,0.011726357959322175,11.0,0.35048583397446886,0.11203595853481853
Pneumonia,Pneumonia,0.44000000000000006,1237.0,-0.012293160779257439,0.011268313989790764,1237.0,0.008119519444585022,0.014490734064981943,116.0,-0.02684867606930848,0.03240594369893747,57.0,0.14710776676190745,0.010830092421125872,55.0,-0.08236591744861885,0.03676173559434941,1.0,0.3576340825513812,0.03399544457561632
