diseases,diseases_abbr,Distance,#M,Gap_M_mean,CI_M,#F,Gap_F_mean,CI_F
Edema,Edema,0.011027027027026962,1850.0,-0.005513513513513481,0.01624382517071938,1665.0,0.005513513513513481,0.01624382517071938
Cardiomegaly,Cardiomegaly,0.0194277776570164,3230.0,0.0097138888285082,0.011604805462574176,2991.0,-0.0097138888285082,0.011604805462574176
Pneumothorax,Pneumothorax,0.024070498681740236,911.0,-0.012035249340870118,0.012803565983274753,535.0,0.012035249340870118,0.012803565983274753
Pleural Effusion,Effusion,0.02918856402773364,3755.0,0.01459428201386682,0.005912660001911672,3401.0,-0.01459428201386682,0.005912660001911672
Consolidation,Consolidation,0.05573541455894389,792.0,-0.027867707279471944,0.016741298783370193,629.0,0.027867707279471944,0.016741298783370193
Atelectasis,Atelectasis,0.06519450893543621,3446.0,-0.03304152126615569,0.005957494217194465,2696.0,0.03215298766928052,0.005963736529502012
Pleural Other,Pleural Other,0.06736842105263144,190.0,-0.03368421052631572,0.023230258019611854,114.0,0.03368421052631572,0.023230258019611854
Lung Opacity,Air. Opacity,0.07513780362750763,4019.0,-0.037568901813753816,0.020548480591531502,3307.0,0.037568901813753816,0.020548480591531502
Pneumonia,Pneumonia,0.08781731279872543,1345.0,-0.043908656399362714,0.010926335852772348,1162.0,0.043908656399362714,0.010926335852772348
Lung Lesion,Lung Lesion,0.0979965379267288,538.0,0.0489982689633644,0.014590654531650657,524.0,-0.0489982689633644,0.014590654531650657
Support Devices,Sup. Devices,0.11684325245553717,4544.0,-0.058421626227768586,0.004937273424855143,3159.0,0.058421626227768586,0.004937273424855143
Fracture,Fracture,0.12664995845669946,495.0,-0.06399648660518224,0.011703669056039992,343.0,0.06265347185151723,0.011850553904844107
Enlarged Cardiomediastinum,Enlarged Card.,0.15085629884455745,569.0,-0.07542814942227873,0.016478052159548714,376.0,0.07542814942227873,0.016478052159548714
