diseases,#60-80,FPR_60-80,Gap_60-80,#40-60,FPR_40-60,Gap_40-60,#20-40,FPR_20-40,Gap_20-40,#80-,FPR_80-,Gap_80-,#0-20,FPR_0-20,Gap_0-20
Enlarged Cardiomediastinum,11831,0.074,0.020591132780960225,13260,0.055,0.0011122297329689834,7137,0.027,-0.027027786256613062,2454,0.054,0.0,788,0.022,-0.03221612699043104
Cardiomegaly,9576,0.26,0.10529210815818427,11514,0.155,0.0,6524,0.084,-0.07140410304220585,1823,0.361,0.2060016897552561,757,0.032,-0.12323771485818538
Lung Opacity,9262,0.345,0.11363763761006468,10975,0.231,0.0,6364,0.135,-0.09591038143085609,1747,0.405,0.17380537804475749,741,0.07,-0.16071294409143588
Lung Lesion,11773,0.038,0.006795845994211146,13209,0.031,0.0,7138,0.014,-0.01691245436403909,2449,0.034,0.002549117602080396,784,0.018,-0.01348512377924143
Edema,10665,0.106,0.037322678689446956,12487,0.069,0.0,6920,0.039,-0.029469526920714306,2036,0.179,0.11064170784767435,792,0.003,-0.06610612410644444
Consolidation,11642,0.073,0.018025606371738,13092,0.055,0.0,7077,0.043,-0.01239835037061876,2398,0.088,0.0325011779089765,785,0.018,-0.037237404667799276
Pneumonia,11251,0.116,0.013703635249212268,12706,0.102,0.0,6868,0.067,-0.034864363650464913,2328,0.128,0.026165223237878246,755,0.044,-0.05813304034283224
Atelectasis,9446,0.26,0.10175518436660921,11467,0.158,0.0,6597,0.07,-0.08759645472302505,2000,0.306,0.14856854451905468,763,0.037,-0.12123420777452329
Pneumothorax,11767,0.023,0.0006530581805725862,13114,0.022,0.0,6910,0.019,-0.003224203119609914,2423,0.01,-0.012132440805606333,755,0.03,0.008426059001703855
Pleural Effusion,8833,0.135,0.06313657047388917,11361,0.072,0.0,6665,0.036,-0.036555838193770784,1650,0.165,0.09258371942290612,750,0.02,-0.05226476542557873
Pleural Other,12090,0.013,0.0034107040922124986,13489,0.01,5.3669186890936e-05,7250,0.003,-0.006761395961978769,2485,0.01,0.0,797,0.005,-0.004639127108952334
Fracture,11962,0.025,0.0038621496312782264,13249,0.021,0.0,7139,0.015,-0.006145576895167438,2442,0.043,0.02227337294134788,785,0.015,-0.005847046261873868
Support Devices,9225,0.124,0.03914097993514924,10789,0.085,0.0,6057,0.059,-0.025651298299668765,1910,0.129,0.0437091491770511,731,0.025,-0.060462859331697594
No Finding,9006,0.163,-0.11191232228471598,8187,0.275,0.0,3060,0.388,0.11332684289057021,2016,0.114,-0.16049435225415437,245,0.494,0.2192958971789522
