diseases,#medicare,FPR_medicare,Gap_medicare,#other,FPR_other,Gap_other,#medicaid,FPR_medicaid,Gap_medicaid
Enlarged Cardiomediastinum,11313,0.059,0.0,11505,0.061,0.0017930474465404286,2636,0.035,-0.023943173329674175
Cardiomegaly,9064,0.267,0.06826375463534975,9723,0.198,0.0,2235,0.17,-0.028373185562221154
Lung Opacity,8703,0.411,0.09248183338120752,9502,0.319,0.0,2155,0.261,-0.057732576509720024
Lung Lesion,11299,0.021,0.0,11594,0.018,-0.0031212451032478425,2636,0.035,0.013546695485560721
Edema,9957,0.111,0.03373918452844127,10638,0.078,0.0,2432,0.063,-0.014417808303895677
Consolidation,11102,0.135,0.028236047647741097,11368,0.107,0.0,2575,0.087,-0.020064599659750076
Pneumonia,10731,0.161,0.02646622152141756,11112,0.12,-0.014872148792239429,2549,0.135,0.0
Atelectasis,9148,0.26,0.061219931602353145,9741,0.199,0.0,2347,0.131,-0.06825025510531019
Pneumothorax,11226,0.021,0.0,11433,0.023,0.001809253484023738,2645,0.016,-0.004965451185591645
Pleural Effusion,8475,0.145,0.03141706968331422,9389,0.114,0.0,2389,0.071,-0.04332876020811294
Pleural Other,11508,0.024,0.009090277119474199,11825,0.015,0.0,2685,0.011,-0.0033722701879126456
Fracture,11383,0.024,0.004839212633454475,11645,0.019,0.0,2660,0.014,-0.005497696581513896
Support Devices,8697,0.104,0.0,8773,0.106,0.0016062379817051026,2130,0.069,-0.03551426993604724
No Finding,8507,0.164,-0.04965120723184341,7369,0.214,0.0,1591,0.287,0.07337181880128918
