diseases,#White,FPR_White,Gap_White,#Black,FPR_Black,Gap_Black,#Hisp,FPR_Hisp,Gap_Hisp,#Other,FPR_Other,Gap_Other,#Asian,FPR_Asian,Gap_Asian,#American,FPR_American,Gap_American
Enlarged Cardiomediastinum,16204,0.062,0.013227745133419788,4896,0.033,-0.016546231436554863,1729,0.042,-0.007005033040867303,1047,0.077,0.028137926849491166,658,0.056,0.00700503304086731,54,0.037,-0.012188932961609333
Cardiomegaly,13462,0.229,0.003994362905724774,3946,0.192,-0.03337308230225039,1481,0.221,-0.003994362905724774,845,0.253,0.027788096571119997,545,0.171,-0.0548241394638401,37,0.432,0.20696609113372996
Lung Opacity,12775,0.384,0.11346489196496817,4111,0.252,-0.01919424744478687,1441,0.262,-0.008639973785197208,863,0.373,0.10215922498159202,506,0.263,-0.00811195881974447,43,0.279,0.00811195881974447
Lung Lesion,16275,0.024,0.007713304633676747,4842,0.015,-0.0018100480579215372,1769,0.006,-0.011027025284464581,1037,0.032,0.01514262855785245,649,0.018,0.0018100480579215407,54,0.0,-0.016679936533757968
Edema,14597,0.098,0.019374080423356102,4539,0.073,-0.005090063332970796,1580,0.084,0.005090063332970796,913,0.067,-0.011641535097575331,622,0.061,-0.017360992876073122,43,0.163,0.08433645720992106
Consolidation,15934,0.129,0.04743424247321529,4835,0.074,-0.007968232757795152,1709,0.083,0.0009063729400040216,1041,0.081,-0.0009063729400040077,640,0.092,0.010589484408699168,54,0.037,-0.0445609785542638
Pneumonia,15519,0.159,0.056356027466107905,4685,0.095,-0.008439926514082194,1664,0.072,-0.0314826005556223,1023,0.111,0.008439926514082194,619,0.123,0.01978165165016868,52,0.038,-0.0645354851710069
Atelectasis,13403,0.236,0.03952959211332979,4265,0.157,-0.039529592113329765,1502,0.137,-0.05923727378200755,840,0.26,0.06313606969652902,559,0.141,-0.05506394734069733,33,0.273,0.07633953289999218
Pneumothorax,16109,0.023,0.005878641201047478,4887,0.014,-0.0031754187562342794,1724,0.016,-0.001428632809143248,1036,0.014,-0.0026111212306107866,647,0.023,0.0060940401020621385,54,0.019,0.0014286328091432515
Pleural Effusion,12429,0.143,0.04289985810380137,4286,0.066,-0.0344375236843916,1549,0.076,-0.02470053563164762,818,0.111,0.011013806455131295,538,0.089,-0.011013806455131295,32,0.125,0.024766862689850122
Pleural Other,16552,0.025,0.015746460118864603,4982,0.005,-0.003964955302413234,1778,0.006,-0.0031580007722915235,1074,0.017,0.007977478801141686,670,0.012,0.0031580007722915235,54,0.0,-0.008782297735171163
Fracture,16344,0.024,0.005161384129841632,4957,0.007,-0.01192760269379712,1760,0.013,-0.0061218780069447355,1025,0.02,0.0003221352968246667,672,0.021,0.0016432735082067794,53,0.019,-0.0003221352968246667
Support Devices,12506,0.105,0.012324517923153158,3997,0.066,-0.026785775935894568,1395,0.081,-0.011581541218637997,801,0.107,0.01478066731102251,503,0.08,-0.013062262624967041,48,0.104,0.011581541218637997
No Finding,11620,0.174,-0.024486051345212145,2924,0.281,0.08202519983500217,998,0.29,0.09082460438966555,725,0.186,-0.012547657375243576,407,0.211,0.012547657375243576,41,0.171,-0.02802284660989454
