diseases,diseases_abbr,Distance,#White,Gap_W_mean,CI_W,#Black,Gap_B_mean,CI_B,#Hisp,Gap_H_mean,CI_H,#Other,Gap_Ot_mean,CI_Ot,#Asian,Gap_As_mean,CI_As,#American,Gap_Am_mean,CI_Am
Pneumothorax,Pneumothorax,0.012006157587398598,16109.0,0.00836202173877588,0.0028616624809319146,16109.0,-0.0035554019236349404,0.0029159789468881387,1724.0,-0.0036441358486227196,0.0023542709401628108,1036.0,-0.00235325265518734,0.0019614872503399827,647.0,0.00476841969059622,0.002492650621277155,54.0,0.0007212504193156597,0.008671580228658568
Pleural Other,Pleural Other,0.0194175930401159,16552.0,0.01081766017673032,0.003303840958730001,16552.0,-0.0035015787887167802,0.0011348302147948085,1778.0,-0.004325467171597081,0.0009978359092868137,1074.0,0.0061114265407111405,0.0026152469859197897,670.0,0.003340365644077,0.0010598834191594647,54.0,-0.00859993286338558,0.0011400598588105527
Fracture,Fracture,0.0194358166477422,16344.0,0.0075950354502934804,0.0020032915581997246,16344.0,-0.011840781197448719,0.005044494296096612,1760.0,-0.006702065515309601,0.004825160070370834,1025.0,0.0051388435755993795,0.00276036795481426,672.0,-0.0007063945196386799,0.003795967477341952,53.0,-0.00376681680175906,0.009282268351754976
Lung Lesion,Lung Lesion,0.03934426229508188,16275.0,0.00826896487994732,0.003431725396292902,16275.0,-0.0024271522366038,0.0024581767406603584,1769.0,-0.01571375857286118,0.002503586199222467,1037.0,0.01775147602295558,0.00500233296500112,649.0,0.0027523601069183003,0.0026800556927572988,54.0,-0.0215927862721263,0.003318042308238476
Support Devices,Sup. Devices,0.0400805961899858,12506.0,0.018746191118937404,0.005141978892642989,12506.0,-0.0213344050710484,0.0040711574210583355,1395.0,-0.0109117852387907,0.002582297900029822,801.0,0.013475472624364122,0.010558132866227086,503.0,-0.00835707764207712,0.0050628636879798085,48.0,0.013693949528234259,0.005042444886383124
Enlarged Cardiomediastinum,Enlarged Card.,0.05369839753793898,16204.0,0.01429056464587578,0.005828839047062816,16204.0,-0.01246374277115824,0.004989629100078902,1729.0,-0.00957737904888124,0.005862874304631897,1047.0,0.03350044997375242,0.007882763413774656,658.0,0.00598689989725658,0.0032014590780196682,54.0,-0.02019794756418656,0.0140063502916194
Consolidation,Consolidation,0.055509997257204395,15934.0,0.02387417906821218,0.011719846736514229,15934.0,-0.0028771525947527002,0.006745123613606283,1709.0,0.00340958414722342,0.004308995447126841,1041.0,0.0018042501213931,0.00661286503096603,640.0,-0.0047492441149181806,0.012388763320221569,54.0,-0.031635818188992214,0.008810062950087204
Pleural Effusion,Effusion,0.07436687045976904,12429.0,0.0451034168021366,0.0023864470616821527,12429.0,-0.029263453657632443,0.004507821648190154,1549.0,-0.014052399727033682,0.006967541156075031,818.0,0.0090881704965192,0.0029683626699580443,538.0,-0.01131793379266182,0.0016742913078390048,32.0,0.03115418516644588,0.008912408840358635
Pneumonia,Pneumonia,0.10528037591637042,15519.0,0.038167881724064184,0.011071784533045846,15519.0,-0.0034362771329514994,0.002868551639964319,1664.0,-0.0224009557307678,0.004609684216177865,1023.0,0.003524395799422359,0.002894561884154892,619.0,0.02154166263632544,0.010543560279237156,52.0,-0.06711249419230624,0.005846793426407549
Edema,Edema,0.10795995822613914,14597.0,0.0197290147707664,0.004865736031635595,14597.0,-0.006674823819443799,0.001807986723305505,1580.0,0.006674823819443799,0.001807986723305505,913.0,-0.01909791038550014,0.007557731170374304,622.0,-0.0142486976914031,0.002981121726840462,43.0,0.088862047840639,0.02983302171935813
Lung Opacity,Air. Opacity,0.12379397557862021,12775.0,0.09231933247137696,0.02096198472817931,12775.0,-0.03031110536401374,0.01519042992778129,1441.0,-0.012625206206508921,0.008569364527624558,863.0,0.09348287021460647,0.01723509977158897,506.0,-0.018285526636162223,0.01831529095846108,43.0,0.00474967880551432,0.015470605719970503
Atelectasis,Atelectasis,0.14889141865886044,13403.0,0.04089487935501828,0.002292122941034627,13403.0,-0.04089487935501827,0.002292122941034602,1502.0,-0.057496581189071506,0.0009206876027908249,840.0,0.06936442952679932,0.004880349676306187,559.0,-0.06015469475976676,0.006052030243131946,33.0,0.08873672389909368,0.015385000075779191
Cardiomegaly,Cardiomegaly,0.2998958591619141,13462.0,-0.00323352774390396,0.005851542331198438,13462.0,-0.0281843513834659,0.00468624854913638,1481.0,0.00359582892374008,0.006456013929091201,845.0,0.0191744600261856,0.00774802127259563,545.0,-0.05924690689200548,0.003718798733792913,37.0,0.24064895226990862,0.031256677900778254
