diseases,diseases_abbr,Distance,#M,Gap_M_mean,CI_M,#F,Gap_F_mean,CI_F
Lung Lesion,Lung Lesion,0.001474375,18074,-0.00073969,0.00219065,17279,0.000734684,0.002214646
Edema,Edema,0.005980927,16762,0.003018631,0.003588852,16138,-0.002962296,0.003588642
Pleural Other,Pleural Other,0.009909898,18422,0.004959341,0.000719164,17689,-0.004950558,0.000718234
Fracture,Fracture,0.014069595,18117,0.007039866,0.00182661,17460,-0.007029729,0.001826087
Pneumothorax,Pneumothorax,0.021097875,17701,0.010556781,0.00183996,17268,-0.010541094,0.00183929
Pneumonia,Pneumonia,0.02240379,17267,0.011188844,0.005700032,16641,-0.011214946,0.005733011
Consolidation,Consolidation,0.038801982,17820,0.019422422,0.006532297,17174,-0.019379559,0.006528097
Cardiomegaly,Cardiomegaly,0.039170141,15382,0.019645294,0.00361235,14812,-0.019524847,0.003659264
Atelectasis,Atelectasis,0.057365962,15166,0.028731263,0.002137531,15107,-0.028634699,0.002136401
Pleural Effusion,Effusion,0.065605456,14857,0.032841758,0.003650877,14402,-0.032763699,0.003645477
Enlarged Cardiomediastinum,Enlarged Card.,0.06729334,18043,0.033665014,0.003266013,17427,-0.033628326,0.003259693
Support Devices,Sup. Devices,0.078792814,14068,0.039432781,0.002430556,14644,-0.039360033,0.002426615
Lung Opacity,Air. Opacity,0.088368135,14593,0.04415115,0.016117521,14496,-0.044216985,0.0161617
,,,,1-,,,12-,
