,diseases,%60-80,Gap_60-80,%40-60,Gap_40-60,%20-40,Gap_20-40,%80+,Gap_80+,%0-20,Gap_0-20
0,Enlarged Cardiomediastinum,0.4148148148148148,-0.003346938775510233,0.37671957671957673,-0.06359688144920894,0.13227513227513227,0.0033469387755101776,0,,0.009523809523809525,0.28690249433106574
1,Cardiomegaly,0.4254942935219418,0.07276604712253387,0.33788779938916574,-0.00036163777432252076,0.1186304452660344,0.00036163777432252076,0,,0.006429834431763382,-0.3128497443394986
2,Lung Opacity,0.40417690417690416,0.09389425658652606,0.36049686049686047,0.03206165579785614,0.12257712257712258,-0.03206165579785614,0,,0.007644007644007644,-0.0908828457437677
3,Lung Lesion,0.423728813559322,0.004051324051324051,0.3832391713747646,-0.004051324051324051,0.1167608286252354,-0.12386982290208096,0,,0.01224105461393597,0.1397778197778198
4,Edema,0.44324324324324327,0.021394950791613132,0.3211948790896159,0.045649320648723735,0.0972972972972973,-0.021394950791613132,0,,0.001422475106685633,-0.338938810440736
5,Consolidation,0.4088669950738916,-0.005235226620768807,0.36875439831104856,-0.04501922630543986,0.1301900070372977,0.05343342481896701,0,,0.00844475721323012,0.005235226620768807
6,Pneumonia,0.3877143996808935,-0.12049591381232672,0.362983645791783,-0.023453450103196327,0.15715995213402473,0.02345345010319627,0,,0.016753091344236137,0.061161934512188265
7,Atelectasis,0.4519856770833333,0.049120339671449464,0.3497721354166667,0.008133525997403912,0.10823567708333333,-0.008133525997403912,0,,0.005533854166666667,-0.30481640967719165
8,Pneumothorax,0.3153526970954357,-0.08382385245983487,0.34716459197787,-0.03177765129956367,0.24343015214384509,0.10347678549869777,0,,0.029045643153526972,0.03177765129956367
9,Pleural Effusion,0.4737283398546674,0.09726483012555076,0.31512017887087757,0.04232693400483578,0.08342649524874231,-0.04232693400483567,0,,0.006567915036333147,-0.1299993385809075
10,Pleural Other,0.4375,0.0,0.41776315789473684,0.02498371914037062,0.039473684210526314,-0.19548872180451127,0,,0.0,
11,Fracture,0.3107142857142857,0.044540229885057486,0.4369047619047619,0.06013733596417051,0.14642857142857144,-0.08722315671432576,0,,0.014285714285714285,-0.04454022988505747
12,Support Devices,0.3891990133714137,0.01717910500894726,0.36699987018044916,-0.014139734363510237,0.15643255874334674,0.014139734363510126,0,,0.008568090354407374,-0.044265898730919684
13,No Finding,0.231422199841738,-0.20500446988521448,0.3905474426300266,-0.05043386439230357,0.3022804114811884,0.050433864392303684,0,,0.0397093734263722,0.08660194170538438
