,diseases,diseases_abbr,Distance,%White,Gap_W_mean,CI_W,%Black,Gap_B_mean,CI_B,%Hisp,Gap_H_mean,CI_H,%Other,Gap_Ot_mean,CI_Ot,%Asian,Gap_As_mean,CI_As,%American,Gap_Am_mean,CI_Am
5,Consolidation,Consolidation,0.12398190045248862,0.5784658691062632,0.015624099602754621,0.018157194383159905,0.5784658691062632,0.00239359875346848,0.011559938271423724,0.0499648135116115,-0.04478507074781594,0.029639255206455873,0.027445460942997803,-0.056919415276526664,0.043691860747893926,0.023926812104152,0.06706248517596196,0.03254212333794217,0.0,,
8,Pneumothorax,Pneumothorax,0.13703703703703696,0.44744121715076074,0.056197990550646205,0.04457726481941204,0.44744121715076074,0.010260594372743901,0.02976037202735572,0.0387275242047026,-0.026154625920981018,0.04667637199692706,0.0304287690179806,-0.06544034020669529,0.044132412643447624,0.0186721991701244,0.07159669683034166,0.07202932711102832,0.0,,
7,Atelectasis,Atelectasis,0.13823241230648625,0.5457356770833334,0.00711269633653152,0.012798590436161335,0.5457356770833334,-0.06467175891656973,0.015112797883899463,0.0452473958333333,-0.00362331372210808,0.009411001398474604,0.0390625,-0.05870125137198812,0.010224717502130892,0.0187174479166666,0.02387121239612772,0.02446158780819449,0.00341796875,0.07356065338991652,0.0289253549487937
3,Lung Lesion,Lung Lesion,0.18753488372093016,0.4529190207156309,-0.0033458007142217402,0.004495895435313165,0.4529190207156309,0.020754210227894376,0.01988036537331196,0.0103578154425612,-0.002930000298421339,0.02852496249104807,0.0404896421845574,0.13660488342250882,0.04416886316543985,0.0235404896421845,-0.05093000029842134,0.033114300625822865,0.0,,
0,Enlarged Cardiomediastinum,Enlarged Card.,0.20606060606060597,0.5841269841269842,0.00465502406496196,0.007846883232141633,0.5841269841269842,0.0109993009061332,0.03053408615100119,0.0539682539682539,-0.03878061105865268,0.04095623323891889,0.0349206349206349,-0.06444906025651365,0.05260857718055203,0.0169312169312169,0.14161154580409233,0.05911211084846171,0.0,,
1,Cardiomegaly,Cardiomegaly,0.21176470588235285,0.5294968654557145,-0.05062912514592738,0.008497014400933253,0.5294968654557145,0.016196284921880303,0.021219852329996982,0.0480630123774312,0.00376936567451632,0.014472643640310158,0.0377752772866098,0.013703187634240221,0.01118245932559118,0.0207362160424369,-0.11395638683384483,0.01634171654386507,0.0027326796334994,0.09780831904850804,0.05957711552128584
11,Fracture,Fracture,0.2254545454545454,0.4904761904761904,0.07899501443190757,0.011750598620208485,0.4904761904761904,-0.04446339543426918,0.04354756651270117,0.0238095238095238,-0.02149042246129624,0.06132898921480909,0.0654761904761904,0.15396412299324916,0.03555671964683726,0.0023809523809523,0.12850957753870373,0.2110475629672257,0.0011904761904761,-0.07149042246129625,0.033431838813852754
9,Pleural Effusion,Effusion,0.23852813852813842,0.6046674119619899,0.06247395434974791,0.009085380429678228,0.6046674119619899,-0.02194669173142144,0.005579154738852355,0.0322806036892118,-0.09606805059854308,0.02753198778118255,0.0366126327557294,0.01116237800593126,0.006877613194114381,0.019005030743432,-0.014892853246875079,0.011728341928750602,0.0030743432084963,0.14246008792959536,0.014831667892478553
12,Support Devices,Sup. Devices,0.239766081871345,0.5517330910035051,-0.02147354777805898,0.002407782062926832,0.5517330910035051,-0.023253900601234424,0.0024707292594208455,0.0499805270673763,0.09728642166426324,0.008823870122453873,0.0362196546799948,0.020671423758942785,0.002303775659117574,0.0221991431909645,-0.05780433553175698,0.011277649927040044,0.0007789173049461,0.181961746339588,0.016389975897774498
4,Edema,Edema,0.24440559440559434,0.6142247510668564,-0.0090749074917671,0.007197098128220809,0.6142247510668564,0.0017215031378996198,0.007485443685026112,0.0568990042674253,-0.00830047488407836,0.01075559671314598,0.0475106685633001,0.053160602960232985,0.022869734093182242,0.0147937411095305,-0.09706970565330912,0.016364141769130962,0.0031294452347083003,0.14733588875228523,0.0463162367547538
10,Pleural Other,Pleural Other,0.2499999999999999,0.6710526315789473,0.08431372549019604,0.04778875887504695,0.6710526315789473,0.0,0.0,0.006578947368421001,-0.14999999999999994,0.03266666666666665,0.0197368421052631,-0.14999999999999994,0.03266666666666665,0.0131578947368421,0.09999999999999995,0.03266666666666665,0.0,,
2,Lung Opacity,Air. Opacity,0.40661918726434854,0.5434070434070434,0.050304282716175305,0.0076630274022197594,0.5434070434070434,-0.017797684072275857,0.009881282759403425,0.0462735462735462,0.00435460582172314,0.007964980995004211,0.0296205296205296,0.05613335328987969,0.02231556699643388,0.0229320229320229,-0.009035617524252401,0.011726357959322175,0.0015015015015015,-0.35048583397446886,0.11203595853481851
6,Pneumonia,Pneumonia,0.44,0.4934184284004786,0.012293160779257439,0.011268313989790764,0.4934184284004786,-0.008119519444585,0.014490734064981907,0.0462704427602712,0.026848676069308457,0.03240594369893747,0.0227363382528919,-0.14710776676190745,0.010830092421125872,0.0219385719984044,0.0823659174486188,0.036761735594349386,0.0007977662544874,-0.3576340825513812,0.03399544457561632
