,diseases,diseases_abbr,Distance,%M,Gap_M_mean,CI_M,%F,Gap_F_mean,CI_F
4,Edema,Edema,0.01102702702702704,0.5263157894736842,0.00551351351351352,0.01624382517071934,0.47368421052631576,-0.00551351351351352,0.01624382517071934
1,Cardiomegaly,Cardiomegaly,0.01942777765701644,0.5192091303648931,-0.00971388882850822,0.011604805462574225,0.480790869635107,0.00971388882850822,0.011604805462574225
8,Pneumothorax,Pneumothorax,0.02407049868174024,0.6300138312586445,0.01203524934087012,0.012803565983274732,0.3699861687413555,-0.01203524934087012,0.012803565983274732
9,Pleural Effusion,Effusion,0.02918856402773356,0.5247344885410844,-0.01459428201386678,0.0059126600019116975,0.4752655114589156,0.01459428201386678,0.0059126600019116975
5,Consolidation,Consolidation,0.05573541455894389,0.5573539760731879,0.027867707279471944,0.016741298783370172,0.4426460239268121,-0.027867707279471944,0.016741298783370172
7,Atelectasis,Atelectasis,0.0651945089354363,0.5608723958333334,0.03304152126615569,0.005957494217194447,0.4388020833333333,-0.032152987669280604,0.005963736529502008
10,Pleural Other,Pleural Other,0.06736842105263151,0.625,0.033684210526315754,0.023230258019611823,0.375,-0.033684210526315754,0.023230258019611823
2,Lung Opacity,Air. Opacity,0.0751378036275076,0.5485940485940486,0.0375689018137538,0.020548480591531467,0.45140595140595147,-0.0375689018137538,0.020548480591531467
6,Pneumonia,Pneumonia,0.08781731279872532,0.5364978061428002,0.04390865639936266,0.010926335852772343,0.4635021938571998,-0.04390865639936266,0.010926335852772343
3,Lung Lesion,Lung Lesion,0.0979965379267288,0.5065913370998116,-0.0489982689633644,0.014590654531650657,0.4934086629001883,0.0489982689633644,0.014590654531650657
12,Support Devices,Sup. Devices,0.11684325245553717,0.5899000389458653,0.058421626227768586,0.0049372734248551865,0.4100999610541347,-0.058421626227768586,0.0049372734248551865
11,Fracture,Fracture,0.12664995845669946,0.5892857142857143,0.06399648660518223,0.011703669056039968,0.4083333333333333,-0.06265347185151723,0.01185055390484414
0,Enlarged Cardiomediastinum,Enlarged Card.,0.1508562988445574,0.6021164021164022,0.0754281494222787,0.016478052159548687,0.3978835978835979,-0.0754281494222787,0.016478052159548687
